run_id,experiment,mode,latency_ms,drop_rate,offline_rate,scenario_id,start_at,end_at
52,drop_success,fault_tolerant,200,0.05,0.02,alarm_06,228.0,233.0
53,drop_success,fault_tolerant,200,0.05,0.02,alarm_01,18.0,23.0
53,drop_success,fault_tolerant,200,0.05,0.02,alarm_02,60.0,65.0
53,drop_success,fault_tolerant,200,0.05,0.02,alarm_03,102.0,107.0
53,drop_success,fault_tolerant,200,0.05,0.02,alarm_04,144.0,149.0
53,drop_success,fault_tolerant,200,0.05,0.02,alarm_05,186.0,191.0
53,drop_success,fault_tolerant,200,0.05,0.02,alarm_06,228.0,233.0
54,drop_success,fault_tolerant,200,0.05,0.02,alarm_01,18.0,23.0
54,drop_success,fault_tolerant,200,0.05,0.02,alarm_02,60.0,65.0
54,drop_success,fault_tolerant,200,0.05,0.02,alarm_03,102.0,107.0
54,drop_success,fault_tolerant,200,0.05,0.02,alarm_04,144.0,149.0
54,drop_success,fault_tolerant,200,0.05,0.02,alarm_05,186.0,191.0
54,drop_success,fault_tolerant,200,0.05,0.02,alarm_06,228.0,233.0
55,drop_success,fault_tolerant,200,0.05,0.02,alarm_01,18.0,23.0
55,drop_success,fault_tolerant,200,0.05,0.02,alarm_02,60.0,65.0
55,drop_success,fault_tolerant,200,0.05,0.02,alarm_03,102.0,107.0
55,drop_success,fault_tolerant,200,0.05,0.02,alarm_04,144.0,149.0
55,drop_success,fault_tolerant,200,0.05,0.02,alarm_05,186.0,191.0
55,drop_success,fault_tolerant,200,0.05,0.02,alarm_06,228.0,233.0
56,drop_success,fault_tolerant,200,0.05,0.02,alarm_01,18.0,23.0
56,drop_success,fault_tolerant,200,0.05,0.02,alarm_02,60.0,65.0
56,drop_success,fault_tolerant,200,0.05,0.02,alarm_03,102.0,107.0
56,drop_success,fault_tolerant,200,0.05,0.02,alarm_04,144.0,149.0
56,drop_success,fault_tolerant,200,0.05,0.02,alarm_05,186.0,191.0
56,drop_success,fault_tolerant,200,0.05,0.02,alarm_06,228.0,233.0
57,drop_success,fault_tolerant,200,0.1,0.02,alarm_01,18.0,23.0
57,drop_success,fault_tolerant,200,0.1,0.02,alarm_02,60.0,65.0
57,drop_success,fault_tolerant,200,0.1,0.02,alarm_03,102.0,107.0
57,drop_success,fault_tolerant,200,0.1,0.02,alarm_04,144.0,149.0
57,drop_success,fault_tolerant,200,0.1,0.02,alarm_05,186.0,191.0
57,drop_success,fault_tolerant,200,0.1,0.02,alarm_06,228.0,233.0
58,drop_success,fault_tolerant,200,0.1,0.02,alarm_01,18.0,23.0
58,drop_success,fault_tolerant,200,0.1,0.02,alarm_02,60.0,65.0
58,drop_success,fault_tolerant,200,0.1,0.02,alarm_03,102.0,107.0
58,drop_success,fault_tolerant,200,0.1,0.02,alarm_04,144.0,149.0
58,drop_success,fault_tolerant,200,0.1,0.02,alarm_05,186.0,191.0
58,drop_success,fault_tolerant,200,0.1,0.02,alarm_06,228.0,233.0
59,drop_success,fault_tolerant,200,0.1,0.02,alarm_01,18.0,23.0
59,drop_success,fault_tolerant,200,0.1,0.02,alarm_02,60.0,65.0
59,drop_success,fault_tolerant,200,0.1,0.02,alarm_03,102.0,107.0
59,drop_success,fault_tolerant,200,0.1,0.02,alarm_04,144.0,149.0
59,drop_success,fault_tolerant,200,0.1,0.02,alarm_05,186.0,191.0
